# %ECSV 0.9
# ---
# datatype:
# - {name: facet_num,datatype: int}
# - {name: chan_id,datatype: int}
# - {name: SPO_MM_num,datatype: int}
# - {name: SPO_row_num,datatype: int}
# - {name: X,unit: mm,datatype: float64}
# - {name: Y,unit: mm,datatype: float64}
# - {name: Z,unit: mm,datatype: float64}
# - {name: DispNX,datatype: float64}
# - {name: DispNY,datatype: float64}
# - {name: DispNZ,datatype: float64}
# - {name: GBarNX,datatype: float64}
# - {name: GBarNY,datatype: float64}
# - {name: GBarNZ,datatype: float64}
# - {name: NormNX,datatype: float64}
# - {name: NormNY,datatype: float64}
# - {name: NormNZ,datatype: float64}
# - {name: xsize,unit: mm,datatype: float64}
# - {name: ysize,unit: mm,datatype: float64}
# - {name: period,unit: mm,datatype: float64}
# Author: Casey DeRoo
# ORIGFILE: arcusTrace.ParamFiles.arcus_params_wsdesign_rev1p0.py
# Description: Specifications of CAT Grating Facets from preliminary specifications for Arcus 2020 (E. Hertz, as of 20/04/24)
facet_num,chan_id,SPO_MM_num,SPO_row_num,X,Y,Z,DispNX,DispNY,DispNZ,GBarNX,GBarNY,GBarNZ,NormNX,NormNY,NormNZ,xsize,ysize,period
40,1,6,1,87.5,487.0,11861.33683,0.9992478983167742,-0.001590747249872254,-0.03874412513784595,0.0,0.9991581940481168,-0.041023204000980466,0.0387767676516499,0.04099235038019999,0.9984067254885641,28,28.5,0.0002
41,1,6,1,87.5,453.5,11862.66878,0.9992478984105052,-0.0014813215529486884,-0.03874846072614228,0.0,0.9992700652064972,-0.038201266761757,0.03877676523626772,0.03817253552830478,0.9985185126021208,28,28.5,0.0002
42,1,7,1,130.5,471.7,11858.98793,0.9991007840758278,-0.001685094687219074,-0.04236488776052179,0.0,0.9992098827381322,-0.03974431076831165,0.042398387458327975,0.039708572051173535,0.9983113772999839,28,28.5,0.0002
43,1,7,1,130.5,438.2,11860.27703,0.9991007842327779,-0.0015654190775988696,-0.04236947496204853,0.0,0.9993181627400483,-0.036921668676460004,0.04239838375985773,0.036888468129833984,0.9984195600916411,28,28.5,0.0002
44,1,7,1,163.5,464.3,11856.7897,0.9989789222193212,-0.0017677968778230671,-0.04514407885562072,0.0,0.9992341671007471,-0.03912900840139527,0.04517867817371091,0.0390890546403366,0.9982138712950251,28,28.5,0.0002
45,1,7,1,163.5,430.8,11858.05825,0.9989789224350853,-0.0016402467166377849,-0.045148888371081934,0.0,0.9993407280589818,-0.03630577423144378,0.04517867340278882,0.036268703219899195,0.998320323661855,28,28.5,0.0002
46,1,7,1,196.5,456.9,11854.40205,0.9988492652863449,-0.001847127161856668,-0.047924246036604,0.0,0.9992580588230575,-0.038514047790057446,0.04795982940888159,0.03846972833830205,0.9981081778868702,28,28.5,0.0002
47,1,3,0,196.5,423.4,11855.65006,0.9988492655694351,-0.0017116946058491215,-0.047929268437734554,0.0,0.9993629026746098,-0.03569017732903883,0.04795982351302089,0.03564910741315334,0.998212901373873,28,28.5,0.0002
48,1,4,1,-196.5,495.7,11872.73782,0.9998892752237516,-0.0006207478597658188,-0.014867816403723411,0.0,0.9991295601648329,-0.04171476962452689,0.014880769218028712,0.04171015076599397,0.9990189317678407,28,28.5,0.0002
49,1,8,2,-196.5,529.2,11871.28932,0.9998892752752089,-0.0006626987286135054,-0.014866002152999026,0.0,0.9990078731360128,-0.04453391305802814,0.014880765760466687,0.04452898205276091,0.9988972582641957,28,28.5,0.0002
